,county,office,rep_votes,dem_votes,dem_pct,rep_pct,vote_margin,county_fips,year
0,Adams,Governor,15950.0,7732.0,32.649269487374376,67.35073051262562,-34.70146102525124,42001,2002
1,Adams,State House,17971.0,6136.0,25.453187870742937,74.54681212925706,-49.093624258514126,42001,2002
2,Allegheny,Governor,169414.0,209708.0,55.31412052057122,44.685879479428785,10.628241041142438,42003,2002
3,Allegheny,State House,121747.0,206340.0,62.8918549043394,37.108145095660596,25.7837098086788,42003,2002
4,Allegheny,State Senate,73169.0,96280.0,56.81945600151078,43.18054399848922,13.63891200302156,42003,2002
5,Allegheny,U.S. House,133219.0,196990.0,59.65615716107071,40.343842838929284,19.312314322141425,42003,2002
6,Armstrong,Governor,11898.0,7965.0,40.09968282736747,59.90031717263253,-19.800634345265067,42005,2002
7,Armstrong,State House,192.0,2162.0,91.84367034834324,8.156329651656755,83.68734069668648,42005,2002
8,Armstrong,State Senate,2466.0,2281.0,48.05140088476933,51.94859911523068,-3.897198230461349,42005,2002
9,Armstrong,U.S. House,10144.0,7784.0,43.41811691209281,56.58188308790718,-13.163766175814366,42005,2002
10,Beaver,Governor,23744.0,27322.0,53.503309442682024,46.49669055731798,7.006618885364041,42007,2002
11,Beaver,State House,13079.0,30471.0,69.96785304247992,30.03214695752009,39.935706084959826,42007,2002
12,Beaver,U.S. House,28555.0,24003.0,45.669546025343436,54.330453974656564,-8.660907949313128,42007,2002
13,Bedford,Governor,10190.0,4516.0,30.708554331565345,69.29144566843465,-38.5828913368693,42009,2002
14,Bedford,State House,10873.0,4158.0,27.662830151021222,72.33716984897877,-44.67433969795755,42009,2002
15,Bedford,State Senate,11219.0,3768.0,25.14178955094415,74.85821044905585,-49.71642089811169,42009,2002
16,Bedford,U.S. House,11440.0,3561.0,23.738417438837413,76.26158256116258,-52.52316512232517,42009,2002
17,Berks,Governor,43790.0,56592.0,56.376641230499494,43.623358769500506,12.753282460998989,42011,2002
18,Berks,State House,56640.0,44122.0,43.78833290327703,56.21166709672297,-12.423334193445939,42011,2002
19,Berks,State Senate,22147.0,10296.0,31.735659464291217,68.26434053570878,-36.528681071417566,42011,2002
20,Berks,U.S. House,49446.0,46574.0,48.50447823370131,51.495521766298694,-2.9910435325973808,42011,2002
21,Blair,Governor,23530.0,10356.0,30.56129374963112,69.43870625036888,-38.87741250073776,42013,2002
22,Blair,State House,14785.0,3169.0,17.650662804945974,82.34933719505403,-64.69867439010807,42013,2002
23,Blair,State Senate,24819.0,9586.0,27.86222932713268,72.13777067286732,-44.27554134573464,42013,2002
24,Blair,U.S. House,27134.0,7414.0,21.45999768438115,78.54000231561885,-57.0800046312377,42013,2002
25,Bradford,Governor,10815.0,4947.0,31.38561096307575,68.61438903692425,-37.2287780738485,42015,2002
26,Bucks,Governor,70000.0,127850.0,64.61966135961586,35.38033864038413,29.23932271923173,42017,2002
27,Bucks,State House,104459.0,81034.0,43.685745553740574,56.314254446259426,-12.628508892518852,42017,2002
28,Bucks,State Senate,111958.0,81854.0,42.233711018925554,57.766288981074446,-15.532577962148892,42017,2002
29,Bucks,U.S. House,119172.0,69816.0,36.94202806527399,63.05797193472601,-26.115943869452025,42017,2002
30,Butler,Governor,32400.0,18145.0,35.89870412503709,64.1012958749629,-28.20259174992581,42019,2002
31,Butler,State House,29873.0,20992.0,41.27002850683181,58.729971493168186,-17.45994298633638,42019,2002
32,Butler,State Senate,18144.0,6058.0,25.030989174448393,74.9690108255516,-49.93802165110321,42019,2002
33,Butler,U.S. House,39235.0,3969.0,9.186649384316267,90.81335061568373,-81.62670123136746,42019,2002
34,Cambria,Governor,25556.0,20305.0,44.275092126207454,55.72490787379255,-11.449815747585099,42021,2002
35,Cambria,State House,16579.0,30378.0,64.69322997636135,35.30677002363865,29.386459952722703,42021,2002
36,Cambria,U.S. House,11120.0,36134.0,76.467600626402,23.532399373598004,52.935201252804,42021,2002
37,Cameron,Governor,1032.0,571.0,35.6207111665627,64.37928883343731,-28.758577666874615,42023,2002
38,Carbon,Governor,6600.0,8598.0,56.57323332017371,43.426766679826294,13.14646664034742,42025,2002
39,Carbon,U.S. House,5882.0,9258.0,61.14927344782034,38.85072655217965,22.29854689564069,42025,2002
40,Centre,Governor,19027.0,14557.0,43.34504525964745,56.65495474035255,-13.309909480705102,42027,2002
41,Centre,State House,23688.0,7139.0,23.158270347422715,76.84172965257729,-53.68345930515457,42027,2002
42,Chester,Governor,58669.0,81996.0,58.2916859204493,41.7083140795507,16.583371840898593,42029,2002
43,Chester,State House,99395.0,31771.0,24.22197825656039,75.77802174343961,-51.55604348687922,42029,2002
44,Chester,State Senate,21012.0,11547.0,35.464848429005805,64.5351515709942,-29.070303141988397,42029,2002
45,Chester,U.S. House,90764.0,40788.0,31.005229871077596,68.9947701289224,-37.9895402578448,42029,2002
46,Clarion,Governor,7397.0,3934.0,34.71891271732416,65.28108728267584,-30.562174565351683,42031,2002
47,Clearfield,Governor,13822.0,10221.0,42.5113338601672,57.4886661398328,-14.977332279665603,42033,2002
48,Clearfield,State House,5307.0,17897.0,77.1289432856404,22.871056714359593,54.25788657128081,42033,2002
49,Clearfield,U.S. House,17432.0,981.0,5.327757562591647,94.67224243740834,-89.3444848748167,42033,2002
50,Clinton,Governor,4434.0,4341.0,49.470085470085465,50.529914529914535,-1.0598290598290703,42035,2002
51,Clinton,State House,2599.0,6432.0,71.22134868785295,28.778651312147048,42.442697375705905,42035,2002
52,Columbia,Governor,9304.0,7004.0,42.948246259504536,57.05175374049546,-14.10350748099092,42037,2002
