,county_fips,year,pvi_n,pvi,vote_margin,dem_pct,rep_pct
0,1001.0,2000.0,,,-41.6,29.18216710953646,70.81783289046354
1,1003.0,2000.0,,,-49.0,25.509850735387925,74.49014926461207
2,1005.0,2000.0,,,0.9,50.44729677168417,49.55270322831583
3,1007.0,2000.0,,,-22.4,38.80853501360447,61.19146498639553
4,1009.0,2000.0,,,-43.6,28.207889367490363,71.79211063250963
5,1011.0,2000.0,,,40.6,70.31897265948633,29.681027340513673
6,1013.0,2000.0,,,-6.7,46.63132031553084,53.36867968446916
7,1015.0,2000.0,,,-17.1,41.43408512090739,58.56591487909261
8,1017.0,2000.0,,,-3.6,48.19359821505192,51.806401784948086
9,1019.0,2000.0,,,-8.6,45.70644360214351,54.29355639785649
10,1021.0,2000.0,,,-35.4,32.315761161915006,67.68423883808498
11,1023.0,2000.0,,,1.5,50.73217462706994,49.26782537293007
12,1025.0,2000.0,,,-12.3,43.86425424205493,56.13574575794507
13,1027.0,2000.0,,,-29.0,35.47883414295628,64.52116585704371
14,1029.0,2000.0,,,-33.4,33.29997998799279,66.7000200120072
15,1031.0,2000.0,,,-31.1,34.43726085235519,65.5627391476448
16,1033.0,2000.0,,,0.1,50.05935140781539,49.94064859218461
17,1035.0,2000.0,,,1.5,50.76614374315943,49.23385625684057
18,1037.0,2000.0,,,-6.2,46.90147124386982,53.09852875613018
19,1039.0,2000.0,,,-33.7,33.131855831654356,66.86814416834565
20,1041.0,2000.0,,,-18.2,40.91389887878147,59.08610112121854
21,1043.0,2000.0,,,-32.5,33.747190039771745,66.25280996022825
22,1045.0,2000.0,,,-36.7,31.653655074520938,68.34634492547906
23,1047.0,2000.0,,,19.7,59.84067223222568,40.15932776777432
24,1049.0,2000.0,,,-29.0,35.48760247447568,64.5123975255243
25,1051.0,2000.0,,,-43.2,28.392163557983697,71.6078364420163
26,1053.0,2000.0,,,-21.3,39.33727604800835,60.66272395199165
27,1055.0,2000.0,,,-9.5,45.257009345794394,54.742990654205606
28,1057.0,2000.0,,,-19.9,40.073240910279885,59.926759089720115
29,1059.0,2000.0,,,-12.2,43.92412023460411,56.0758797653959
30,1061.0,2000.0,,,-40.8,29.592818210965056,70.40718178903495
31,1063.0,2000.0,,,61.0,80.47772163527792,19.522278364722094
32,1065.0,2000.0,,,21.8,60.9219486642221,39.0780513357779
33,1067.0,2000.0,,,-18.6,40.696313633703916,59.303686366296084
34,1069.0,2000.0,,,-40.4,29.820670426462204,70.1793295735378
35,1071.0,2000.0,,,3.4,51.68462459380879,48.31537540619121
36,1073.0,2000.0,,,-3.2,48.39742156643565,51.60257843356435
37,1075.0,2000.0,,,-25.5,37.245542608451494,62.7544573915485
38,1077.0,2000.0,,,-11.5,44.25413835996556,55.74586164003444
39,1079.0,2000.0,,,5.2,52.611347873318294,47.388652126681706
40,1081.0,2000.0,,,-21.2,39.38173858999649,60.61826141000351
41,1083.0,2000.0,,,-22.5,38.765304362821176,61.234695637178824
42,1085.0,2000.0,,,47.1,73.5593220338983,26.440677966101696
43,1087.0,2000.0,,,75.1,87.53997259022384,12.460027409776153
44,1089.0,2000.0,,,-12.6,43.67829632985954,56.321703670140465
45,1091.0,2000.0,,,1.6,50.7921519252964,49.2078480747036
46,1093.0,2000.0,,,-20.1,39.96524761077324,60.03475238922677
47,1095.0,2000.0,,,-24.4,37.79719643182232,62.20280356817768
48,1097.0,2000.0,,,-14.3,42.86487039663163,57.13512960336837
49,1099.0,2000.0,,,-15.9,42.06206431302002,57.93793568697999
50,1101.0,2000.0,,,1.9,50.974772090204304,49.0252279097957
51,1103.0,2000.0,,,-23.2,38.389826456948896,61.610173543051104
52,1105.0,2000.0,,,39.8,69.88873435326843,30.11126564673157
53,1107.0,2000.0,,,-1.9,49.035388803408686,50.964611196591314
54,1109.0,2000.0,,,-16.3,41.83389342294767,58.166106577052325
55,1111.0,2000.0,,,-20.3,39.87113402061856,60.12886597938144
56,1113.0,2000.0,,,15.1,57.53049198300671,42.46950801699329
57,1115.0,2000.0,,,-45.0,27.47648504364037,72.52351495635963
58,1117.0,2000.0,,,-56.7,21.670447447151265,78.32955255284874
59,1119.0,2000.0,,,46.1,73.04765056254136,26.95234943745864
60,1121.0,2000.0,,,-10.1,44.92840333452994,55.07159666547007
61,1123.0,2000.0,,,-22.7,38.67275456592444,61.327245434075564
62,1125.0,2000.0,,,-16.0,41.9912312127881,58.008768787211906
63,1127.0,2000.0,,,-7.4,46.28589636356394,53.71410363643605
64,1129.0,2000.0,,,-9.7,45.12861522057843,54.87138477942156
65,1131.0,2000.0,,,34.9,67.46327130264447,32.536728697355535
66,1133.0,2000.0,,,-40.9,29.56617243272927,70.43382756727074
67,4001.0,2000.0,,,37.3,68.6538056082648,31.34619439173519
68,4003.0,2000.0,,,-15.3,42.35890932149651,57.641090678503495
69,4005.0,2000.0,,,7.2,53.59124781988267,46.40875218011733
70,4007.0,2000.0,,,-8.6,45.6756436113418,54.3243563886582
71,4009.0,2000.0,,,-28.3,35.8363597521897,64.16364024781029
72,4011.0,2000.0,,,-14.2,42.89241622574956,57.107583774250436
73,4012.0,2000.0,,,-17.9,41.02504638218924,58.97495361781077
74,4013.0,2000.0,,,-10.8,44.618127271678304,55.3818727283217
75,4015.0,2000.0,,,-16.5,41.73834097859327,58.26165902140673
76,4017.0,2000.0,,,-2.4,48.77584780810587,51.22415219189412
77,4019.0,2000.0,,,8.5,54.24381214028876,45.75618785971124
78,4021.0,2000.0,,,-1.2,49.40661772100975,50.59338227899024
